,0
O95139,AF-O95139-F1-model_v4_TED01:1.20.5:61:96
O95150,AF-O95150-F1-model_v4_TED01:2.60.120.40:95:249
O95154,
O95156,AF-O95156-F1-model_v4_TED01:2.60.40:115:250
O95157,
O95158,AF-O95158-F1-model_v4_TED01:2.60.40:106:298
O95159,AF-O95159-F1-model_v4_TED01:-:1:48;AF-O95159-F1-model_v4_TED02:3.30.40.10:50:137
O95163,AF-O95163-F1-model_v4_TED02:-:750:1007;AF-O95163-F1-model_v4_TED01:2.40.128:378:594
O95166,AF-O95166-F1-model_v4_TED01:3.10.20.90:3:109
O95167,AF-O95167-F1-model_v4_TED01:-:7:48
O95168,AF-O95168-F1-model_v4_TED01:-:13:80;AF-O95168-F1-model_v4_TED02:1.20.5:82:122
O95169,AF-O95169-F1-model_v4_TED01:1.20.5:122:151
O95170,AF-O95170-F1-model_v4_TED01:-:280:335
O95177,
O95178,AF-O95178-F1-model_v4_TED01:1.20.5:51:78
O95182,
O95183,
O95190,AF-O95190-F1-model_v4_TED01:3.40.630.60:53:179
O95196,AF-O95196-F1-model_v4_TED01:2.10.25:364:413;AF-O95196-F1-model_v4_TED02:1.20.5:419:460
O95197,
O95214,AF-O95214-F1-model_v4_TED01:-:1:121
O95229,
O95232,AF-O95232-F1-model_v4_TED01:1.10.287:118:190
O95236,
O95237,AF-O95237-F1-model_v4_TED01:3.90.1720.10:40:175;AF-O95237-F1-model_v4_TED02:1.10.287:191:228
O95249,"AF-O95249-F1-model_v4_TED01:1.20.58,1.20.58:2:153"
O95257,AF-O95257-F1-model_v4_TED01:3.30.1330.30:38:156
O95258,AF-O95258-F1-model_v4_TED01:-:41:325;AF-O95258-F1-model_v4_TED02:-:198:296
O95260,AF-O95260-F1-model_v4_TED01:-:12:463
O95273,AF-O95273-F1-model_v4_TED01:1.20.1420.10:18:166;AF-O95273-F1-model_v4_TED02:1.20.1410.10:174:359
O95295,AF-O95295-F1-model_v4_TED01:1.20.5:23:75;AF-O95295-F1-model_v4_TED02:1.20.5:76:126
O95298,AF-O95298-F1-model_v4_TED01:1.10.287:24:97
O95299,AF-O95299-F1-model_v4_TED01:3.40.50.300:55:323
O95340,AF-O95340-F1-model_v4_TED01:3.40.50.300:26:219;AF-O95340-F1-model_v4_TED02:3.10.400.10:230:372;AF-O95340-F1-model_v4_TED03:3.40.50.620:383:612
O95372,AF-O95372-F1-model_v4_TED01:3.40.50.1820:14:226
O95379,AF-O95379-F1-model_v4_TED01:1.20.1440.160:45:194
O95391,AF-O95391-F1-model_v4_TED01:-:31:92;AF-O95391-F1-model_v4_TED02:-:251:319;AF-O95391-F1-model_v4_TED03:-:326:409;AF-O95391-F1-model_v4_TED04:-:410:474;AF-O95391-F1-model_v4_TED05:-:524:586
O95395,AF-O95395-F1-model_v4_TED01:-:39:438
O95399,
O95400,AF-O95400-F1-model_v4_TED01:-:64:128;AF-O95400-F1-model_v4_TED02:-:153:235;AF-O95400-F1-model_v4_TED03:3.30.1490.40:281:338
O95406,AF-O95406-F1-model_v4_TED01:1.20.120:4:142
O95411,
O95415,AF-O95415-F1-model_v4_TED01:-:90:123
O95424,AF-O95424-F1-model_v4_TED01:1.20.5:24:72
O95427,AF-O95427-F1-model_v4_TED01:3.40.720.10:31:351;AF-O95427-F1-model_v4_TED02:-:374:437;AF-O95427-F1-model_v4_TED03:-:440:540;AF-O95427-F1-model_v4_TED04:-:557:916
O95433,AF-O95433-F1-model_v4_TED01:3.15.10.20:27:155;AF-O95433-F1-model_v4_TED02:3.30.530.20:206:330
O95436,AF-O95436-F1-model_v4_TED01:-:107:551;AF-O95436-F1-model_v4_TED02:-:303:350
O95445,AF-O95445-F1-model_v4_TED01:2.40.128.20:29:176
O95447,
O95456,AF-O95456-F1-model_v4_TED01:3.40.50.10900:53:283
O95461,AF-O95461-F1-model_v4_TED01:3.90.550.10:137:409;AF-O95461-F1-model_v4_TED02:3.90.550.10:455:750
O95467,AF-O95467-F1-model_v4_TED01:1.20.5:1:68
O95470,AF-O95470-F1-model_v4_TED03:3.40.640.10:170:412;AF-O95470-F1-model_v4_TED04:3.90.1150.10:413:545;AF-O95470-F1-model_v4_TED01:1.20.5:38:71;AF-O95470-F1-model_v4_TED02:1.20.5:72:107
O95471,AF-O95471-F1-model_v4_TED01:1.20.140.150:1:183
O95478,AF-O95478-F1-model_v4_TED01:-:1:49;AF-O95478-F1-model_v4_TED02:2.40.10.310:128:257
O95484,AF-O95484-F1-model_v4_TED01:1.20.140.150:21:182
O95500,AF-O95500-F1-model_v4_TED01:1.20.140.150:1:187
O95521,AF-O95521-F1-model_v4_TED01:-:10:101;AF-O95521-F1-model_v4_TED02:-:147:294;AF-O95521-F1-model_v4_TED03:3.80.10.10:333:458
O95522,AF-O95522-F1-model_v4_TED01:1.25.40:12:105;AF-O95522-F1-model_v4_TED02:3.30.750:332:471
O95528,AF-O95528-F1-model_v4_TED01:1.20.1250.20:9:187;AF-O95528-F1-model_v4_TED02:1.20.1250.20:219:518
O95544,AF-O95544-F1-model_v4_TED01:3.40.50.10330:105:230;AF-O95544-F1-model_v4_TED02:2.60.200.30:239:402
O95561,AF-O95561-F1-model_v4_TED01:-:136:165
O95562,AF-O95562-F1-model_v4_TED01:-:2:160
O95563,AF-O95563-F1-model_v4_TED01:1.20.5:1:33;AF-O95563-F1-model_v4_TED02:1.20.1280:36:125
O95567,AF-O95567-F1-model_v4_TED02:-:205:261
O95568,AF-O95568-F1-model_v4_TED01:3.40.50.150:100:367
O95626,AF-O95626-F1-model_v4_TED01:3.80.10.10:4:128
O95670,
O95671,AF-O95671-F1-model_v4_TED01:3.90.950.10:4:213;AF-O95671-F1-model_v4_TED02:1.10.10.10:291:371;AF-O95671-F1-model_v4_TED03:3.40.50.150:423:619
O95674,AF-O95674-F1-model_v4_TED01:-:406:445
O95677,AF-O95677-F1-model_v4_TED01:3.40.50.12350:371:637
O95684,AF-O95684-F1-model_v4_TED01:-:2:56;AF-O95684-F1-model_v4_TED02:1.20.960.40:59:139
O95685,AF-O95685-F1-model_v4_TED01:2.60.40.2440:155:286
O95707,AF-O95707-F1-model_v4_TED01:-:12:53;AF-O95707-F1-model_v4_TED02:2.30.30.210:96:220
O95711,AF-O95711-F1-model_v4_TED01:2.60.40.770:29:162
O95715,AF-O95715-F1-model_v4_TED01:2.40.50.40:11:111
O95744,AF-O95744-F1-model_v4_TED01:3.30.565.10:82:276
O95749,
O95750,AF-O95750-F1-model_v4_TED01:2.80.10.50:34:167
O95757,AF-O95757-F1-model_v4_TED01:3.30.420.40:3:392;AF-O95757-F1-model_v4_TED02:3.90.640.10:232:312;AF-O95757-F1-model_v4_TED03:1.20.1270.10:614:788
O95760,AF-O95760-F1-model_v4_TED02:2.80.10.50:117:267
O95777,AF-O95777-F1-model_v4_TED01:2.30.30.100:1:82
O95801,AF-O95801-F1-model_v4_TED01:1.25.40.10:74:201;AF-O95801-F1-model_v4_TED02:3.10.20.90:263:386
O95807,AF-O95807-F1-model_v4_TED01:-:35:149
O95810,AF-O95810-F1-model_v4_TED02:-:230:273;AF-O95810-F1-model_v4_TED01:1.20.5:57:153
O95813,AF-O95813-F1-model_v4_TED01:2.10.90.10:153:247
O95822,AF-O95822-F1-model_v4_TED01:1.20.140.90:39:191;AF-O95822-F1-model_v4_TED02:3.40.630.150:196:330;AF-O95822-F1-model_v4_TED03:3.40.630.150:335:491
O95832,AF-O95832-F1-model_v4_TED01:1.20.140.150:1:187
O95837,AF-O95837-F1-model_v4_TED01:3.40.50.300:40:344;AF-O95837-F1-model_v4_TED02:1.10.400.10:66:178
O95847,AF-O95847-F1-model_v4_TED01:-:191:290
O95857,AF-O95857-F1-model_v4_TED02:-:92:193;AF-O95857-F1-model_v4_TED01:1.10.287:10:69
O95858,AF-O95858-F1-model_v4_TED01:-:2:267
O95859,AF-O95859-F1-model_v4_TED01:-:1:252;AF-O95859-F1-model_v4_TED02:1.10.1450.10:125:210
O95861,AF-O95861-F1-model_v4_TED01:3.30.540.10:6:177;AF-O95861-F1-model_v4_TED02:3.40.190.80:190:304
O95865,AF-O95865-F1-model_v4_TED01:3.75.10.10:11:278
O95866,AF-O95866-F1-model_v4_TED01:2.60.40.10:23:123
O95873,AF-O95873-F1-model_v4_TED01:-:172:262
O95876,AF-O95876-F1-model_v4_TED01:2.130.10.10:34:487;AF-O95876-F1-model_v4_TED02:1.25.40:489:634
O95886,AF-O95886-F1-model_v4_TED01:-:792:904
O95905,AF-O95905-F1-model_v4_TED01:-:14:196;AF-O95905-F1-model_v4_TED02:1.10.1220:207:315
O95907,AF-O95907-F1-model_v4_TED01:1.20.1250.20:14:197;AF-O95907-F1-model_v4_TED02:1.20.1250.20:244:441
O95922,AF-O95922-F1-model_v4_TED01:3.30.470.20:1:397;AF-O95922-F1-model_v4_TED02:-:73:108;AF-O95922-F1-model_v4_TED03:-:112:183
O95926,AF-O95926-F1-model_v4_TED01:-:211:243
O95954,AF-O95954-F1-model_v4_TED01:3.30.990.10:5:179;AF-O95954-F1-model_v4_TED02:3.30.70.670:183:273;AF-O95954-F1-model_v4_TED03:1.20.120.680:339:539
O95968,AF-O95968-F1-model_v4_TED01:1.10.210.10:21:88
O95969,AF-O95969-F1-model_v4_TED01:1.10.210.10:23:90
O95971,AF-O95971-F1-model_v4_TED01:2.60.40.10:27:140
O95988,AF-O95988-F1-model_v4_TED01:2.40.15.10:11:121
O95990,AF-O95990-F1-model_v4_TED01:1.20.5:38:111
O95994,AF-O95994-F1-model_v4_TED01:3.40.30.10:49:167
O95995,AF-O95995-F1-model_v4_TED01:1.20.5:30:196;AF-O95995-F1-model_v4_TED02:1.20.5:396:473
O95997,
O96000,AF-O96000-F1-model_v4_TED02:-:61:141;AF-O96000-F1-model_v4_TED01:1.20.5:22:55
O96001,
O96002,AF-O96002-F1-model_v4_TED01:1.20.5:2:108
O96005,AF-O96005-F1-model_v4_TED01:-:91:338
O96007,AF-O96007-F1-model_v4_TED01:3.90.1170.40:43:169
O96008,AF-O96008-F1-model_v4_TED01:2.40.160.10:84:361
O96011,
O96014,AF-O96014-F1-model_v4_TED01:-:25:281;AF-O96014-F1-model_v4_TED02:3.30.2460.20:297:354
O96015,AF-O96015-F1-model_v4_TED01:3.30.740.10:1:102
O96019,AF-O96019-F1-model_v4_TED01:3.30.420.40:13:426;AF-O96019-F1-model_v4_TED02:3.90.640.10:198:308
O96024,AF-O96024-F1-model_v4_TED01:3.90.550.50:25:378
O96033,AF-O96033-F1-model_v4_TED01:3.10.20.30:3:81
O97980,
P00156,AF-P00156-F1-model_v4_TED01:1.20.810.10:30:265;AF-P00156-F1-model_v4_TED02:1.10.287:270:380
P00367,AF-P00367-F1-model_v4_TED01:3.40.50.10860:113:264;AF-P00367-F1-model_v4_TED02:3.40.50.720:265:558
P00374,AF-P00374-F1-model_v4_TED01:3.40.430.10:4:177
P00395,
P00403,AF-P00403-F1-model_v4_TED01:1.10.287.90:14:87;AF-P00403-F1-model_v4_TED02:2.60.40.420:94:220
P00414,AF-P00414-F1-model_v4_TED01:1.10.287.70:8:70;AF-P00414-F1-model_v4_TED02:1.20.120.80:71:255
P00491,AF-P00491-F1-model_v4_TED01:3.40.50.1580:6:280
P00558,AF-P00558-F1-model_v4_TED01:3.40.50.1260:8:187;AF-P00558-F1-model_v4_TED02:3.40.50.1260:200:391
P00568,AF-P00568-F1-model_v4_TED01:3.40.50.300:1:194
P00709,AF-P00709-F1-model_v4_TED01:1.10.530.10:23:136
P00846,AF-P00846-F1-model_v4_TED01:-:13:226
P00966,AF-P00966-F1-model_v4_TED01:3.40.50.620:5:176;AF-P00966-F1-model_v4_TED02:3.90.1260.10:181:363
P01008,AF-P01008-F1-model_v4_TED01:3.30.497.10:77:405;AF-P01008-F1-model_v4_TED02:2.30.39.10:262:457
P01009,AF-P01009-F1-model_v4_TED01:3.30.497.10:46:362;AF-P01009-F1-model_v4_TED02:2.30.39.10:220:411
P01011,AF-P01011-F1-model_v4_TED01:3.30.497.10:43:363;AF-P01011-F1-model_v4_TED02:2.30.39.10:222:416
P01019,AF-P01019-F1-model_v4_TED01:3.30.497.10:81:429;AF-P01019-F1-model_v4_TED02:2.30.39.10:289:477
P01148,AF-P01148-F1-model_v4_TED01:-:41:92
P01160,
P01178,
P01185,AF-P01185-F1-model_v4_TED01:2.60.9.10:36:131
P01189,AF-P01189-F1-model_v4_TED01:-:10:55
P01210,AF-P01210-F1-model_v4_TED01:-:1:72
P01213,AF-P01213-F1-model_v4_TED01:-:19:70
P01215,AF-P01215-F1-model_v4_TED01:2.10.90.10:29:116
P01222,AF-P01222-F1-model_v4_TED01:2.10.90.10:22:114
P01225,AF-P01225-F1-model_v4_TED01:2.10.90.10:24:129
P01229,AF-P01229-F1-model_v4_TED01:2.10.90.10:25:119
P01236,AF-P01236-F1-model_v4_TED01:1.20.1250.10:42:222
P01241,AF-P01241-F1-model_v4_TED01:1.20.1250.10:31:209
P01242,AF-P01242-F1-model_v4_TED01:1.20.1250.10:31:209
P01258,
P01270,AF-P01270-F1-model_v4_TED01:-:3:111
P01298,AF-P01298-F1-model_v4_TED01:1.20.5:35:64
P01303,AF-P01303-F1-model_v4_TED01:1.20.5:31:63
P01350,
P01374,AF-P01374-F1-model_v4_TED01:2.60.120.40:63:203
P01375,AF-P01375-F1-model_v4_TED02:2.60.120.40:86:231;AF-P01375-F1-model_v4_TED01:1.20.5:29:58
P01562,AF-P01562-F1-model_v4_TED01:1.20.1250.10:32:189
P01563,AF-P01563-F1-model_v4_TED01:1.20.1250.10:65:188
P01566,AF-P01566-F1-model_v4_TED01:1.20.1250.10:31:189
P01567,AF-P01567-F1-model_v4_TED01:1.20.1250.10:27:189
P01568,AF-P01568-F1-model_v4_TED01:1.20.1250.10:23:189
P01569,AF-P01569-F1-model_v4_TED01:1.20.1250.10:25:189
P01570,AF-P01570-F1-model_v4_TED01:1.20.1250.10:63:189
P01571,AF-P01571-F1-model_v4_TED01:1.20.1250.10:1:189
P01574,AF-P01574-F1-model_v4_TED01:1.20.1250.10:24:187
P01579,
P01583,AF-P01583-F1-model_v4_TED01:2.80.10.50:124:266
P01584,AF-P01584-F1-model_v4_TED01:2.80.10.50:122:267
P01588,AF-P01588-F1-model_v4_TED01:1.20.1250.10:28:193
P01591,AF-P01591-F1-model_v4_TED01:-:2:93;AF-P01591-F1-model_v4_TED02:-:127:159
P02008,AF-P02008-F1-model_v4_TED01:1.10.490.10:6:142
P02042,AF-P02042-F1-model_v4_TED01:1.10.490.10:5:142
P02100,AF-P02100-F1-model_v4_TED01:1.10.490.10:5:142
P02144,AF-P02144-F1-model_v4_TED01:1.10.490.10:4:149
P02462,AF-P02462-F1-model_v4_TED01:2.170.240.10:1447:1668
P02647,
P02649,AF-P02649-F1-model_v4_TED01:1.20.120.20:34:207
P02652,
P02654,AF-P02654-F1-model_v4_TED01:1.20.5:32:83
P02655,
P02656,AF-P02656-F1-model_v4_TED02:1.10.287:54:86
P02686,
P02724,
P02766,AF-P02766-F1-model_v4_TED01:2.60.40.180:31:141
P02775,AF-P02775-F1-model_v4_TED01:2.40.50.40:75:126
P02776,AF-P02776-F1-model_v4_TED01:2.40.50.40:51:99
P02778,AF-P02778-F1-model_v4_TED01:2.40.50.40:22:95
P02787,AF-P02787-F1-model_v4_TED01:3.40.190.10:25:346;AF-P02787-F1-model_v4_TED02:3.40.190.10:114:266;AF-P02787-F1-model_v4_TED03:3.40.190.10:362:697;AF-P02787-F1-model_v4_TED04:3.40.190.10:450:602
P02788,AF-P02788-F1-model_v4_TED01:3.40.190.10:23:331;AF-P02788-F1-model_v4_TED02:3.40.190.10:110:268;AF-P02788-F1-model_v4_TED03:3.40.190.10:340:708;AF-P02788-F1-model_v4_TED04:3.40.190.10:454:612
P02792,AF-P02792-F1-model_v4_TED01:1.20.1260.10:10:171
P02794,AF-P02794-F1-model_v4_TED01:1.20.1260.10:14:174
P02795,AF-P02795-F1-model_v4_TED01:4.10.10.10:1:30;AF-P02795-F1-model_v4_TED02:-:33:61
P02808,
P02810,
P02812,
P02814,
P03886,AF-P03886-F1-model_v4_TED01:-:62:307
P03897,
P03901,AF-P03901-F1-model_v4_TED01:1.10.287.3510:1:91
P03923,AF-P03923-F1-model_v4_TED01:1.20.120:2:129;AF-P03923-F1-model_v4_TED02:1.20.5:131:174
P03928,AF-P03928-F1-model_v4_TED01:-:6:62
P03950,AF-P03950-F1-model_v4_TED01:3.10.130.10:29:142
P04040,AF-P04040-F1-model_v4_TED01:4.10.91.20:28:67;AF-P04040-F1-model_v4_TED02:2.40.180.10:77:382;AF-P04040-F1-model_v4_TED03:-:440:502
P04062,AF-P04062-F1-model_v4_TED01:2.60.40.1180:75:533;AF-P04062-F1-model_v4_TED02:3.20.20.80:119:468
P04066,AF-P04066-F1-model_v4_TED01:3.20.20.80:42:367;AF-P04066-F1-model_v4_TED02:2.60.40.1180:374:466
P04075,AF-P04075-F1-model_v4_TED01:3.20.20.70:14:338
P04083,AF-P04083-F1-model_v4_TED01:1.10.220.10:43:111;AF-P04083-F1-model_v4_TED02:1.10.220.10:273:342
P04118,AF-P04118-F1-model_v4_TED01:2.10.80.10:24:112
P04141,AF-P04141-F1-model_v4_TED01:1.20.1250.10:30:132
P04179,AF-P04179-F1-model_v4_TED01:1.10.287.990:43:103;AF-P04179-F1-model_v4_TED02:3.55.40.20:114:219
P04180,AF-P04180-F1-model_v4_TED01:3.40.50.1820:25:418;AF-P04180-F1-model_v4_TED02:-:60:123
P04181,AF-P04181-F1-model_v4_TED01:3.90.1150.10:61:436;AF-P04181-F1-model_v4_TED02:3.40.640.10:95:342
P04183,AF-P04183-F1-model_v4_TED01:3.40.50.300:19:149;AF-P04183-F1-model_v4_TED02:3.30.60.20:158:189
P04234,AF-P04234-F1-model_v4_TED01:2.60.40.10:19:88;AF-P04234-F1-model_v4_TED02:1.20.5:97:131
P04279,
P04280,
P04406,AF-P04406-F1-model_v4_TED01:3.40.50.720:4:128;AF-P04406-F1-model_v4_TED02:3.30.360.10:151:316
P04553,
P04554,
P04628,AF-P04628-F1-model_v4_TED01:-:32:299;AF-P04628-F1-model_v4_TED02:3.30.2460.20:310:370
P04731,AF-P04731-F1-model_v4_TED01:-:2:31;AF-P04731-F1-model_v4_TED02:-:35:61
P04732,AF-P04732-F1-model_v4_TED01:4.10.10.10:1:30;AF-P04732-F1-model_v4_TED02:-:33:61
P04733,AF-P04733-F1-model_v4_TED01:-:2:31;AF-P04733-F1-model_v4_TED02:-:34:61
P04798,AF-P04798-F1-model_v4_TED01:1.10.630.10:34:509
P04818,AF-P04818-F1-model_v4_TED01:3.30.572.10:28:298
P04843,AF-P04843-F1-model_v4_TED01:2.60.40.1730:32:220;AF-P04843-F1-model_v4_TED02:2.60.40.1730:226:437;AF-P04843-F1-model_v4_TED03:-:468:607
P04844,"AF-P04844-F1-model_v4_TED01:1.50.10,1.50.10:32:268;AF-P04844-F1-model_v4_TED02:2.60.40,2.60.40:273:370;AF-P04844-F1-model_v4_TED03:2.60.40,2.60.40:374:504;AF-P04844-F1-model_v4_TED04:1.10.287:573:631"
P04899,AF-P04899-F1-model_v4_TED01:3.40.50.300:39:340;AF-P04899-F1-model_v4_TED02:1.10.400.10:62:175
P05000,AF-P05000-F1-model_v4_TED01:1.20.1250.10:28:189
P05013,AF-P05013-F1-model_v4_TED01:1.20.1250.10:26:185
P05014,AF-P05014-F1-model_v4_TED01:1.20.1250.10:82:189
P05015,AF-P05015-F1-model_v4_TED01:1.20.1250.10:82:189
P05026,AF-P05026-F1-model_v4_TED02:2.60.40.1660:76:300;AF-P05026-F1-model_v4_TED01:1.20.5:16:59
P05060,
P05062,AF-P05062-F1-model_v4_TED01:3.20.20.70:9:338
P05089,AF-P05089-F1-model_v4_TED01:3.40.800.10:8:305
P05093,AF-P05093-F1-model_v4_TED01:1.10.630.10:2:507
P05108,AF-P05108-F1-model_v4_TED01:1.10.630.10:47:512
P05112,AF-P05112-F1-model_v4_TED01:1.20.1250.10:30:151
P05113,AF-P05113-F1-model_v4_TED01:1.20.1250.10:25:105
P05114,
P05120,AF-P05120-F1-model_v4_TED01:3.30.497.10:2:361;AF-P05120-F1-model_v4_TED02:2.30.39.10:220:413
P05121,AF-P05121-F1-model_v4_TED01:3.30.497.10:28:348;AF-P05121-F1-model_v4_TED02:2.30.39.10:203:385
P05141,AF-P05141-F1-model_v4_TED01:1.50.40.10:4:297
P05154,AF-P05154-F1-model_v4_TED01:3.30.497.10:47:353;AF-P05154-F1-model_v4_TED02:2.30.39.10:209:402
P05155,AF-P05155-F1-model_v4_TED01:3.30.497.10:131:447;AF-P05155-F1-model_v4_TED02:2.30.39.10:298:494
P05164,
P05177,AF-P05177-F1-model_v4_TED01:1.10.630.10:38:512
P05181,AF-P05181-F1-model_v4_TED01:1.10.630.10:32:492
P05186,AF-P05186-F1-model_v4_TED01:3.40.720.10:47:487;AF-P05186-F1-model_v4_TED02:-:386:452
P05187,AF-P05187-F1-model_v4_TED01:3.40.720.10:51:489
P05204,
P05230,AF-P05230-F1-model_v4_TED01:2.80.10.50:24:150
P05231,AF-P05231-F1-model_v4_TED01:1.20.1250.10:48:209
P05305,AF-P05305-F1-model_v4_TED01:1.20.5:114:144;AF-P05305-F1-model_v4_TED02:1.20.5:148:192
P05386,AF-P05386-F1-model_v4_TED01:1.10.10.1410:3:63
P05387,AF-P05387-F1-model_v4_TED01:1.10.10.1410:1:65
P05388,AF-P05388-F1-model_v4_TED01:3.30.70.1730:5:204;AF-P05388-F1-model_v4_TED02:3.90.105.20:114:181;AF-P05388-F1-model_v4_TED03:-:207:269
P05408,AF-P05408-F1-model_v4_TED01:-:119:149
P05423,AF-P05423-F1-model_v4_TED01:-:249:398
P05543,AF-P05543-F1-model_v4_TED01:3.30.497.10:34:355;AF-P05543-F1-model_v4_TED02:2.30.39.10:215:408
P05546,AF-P05546-F1-model_v4_TED01:3.30.497.10:145:446;AF-P05546-F1-model_v4_TED02:2.30.39.10:300:494
P05814,
P06028,AF-P06028-F1-model_v4_TED01:1.20.5:59:91
P06132,AF-P06132-F1-model_v4_TED01:3.20.20.210:33:365
P06133,AF-P06133-F1-model_v4_TED01:3.40.50.2000:26:483;AF-P06133-F1-model_v4_TED02:3.40.50.2000:291:451;AF-P06133-F1-model_v4_TED03:1.20.5:486:519
P06280,AF-P06280-F1-model_v4_TED01:3.20.20.70:41:320;AF-P06280-F1-model_v4_TED02:2.60.40.1180:328:427
P06307,
P06454,
P06727,AF-P06727-F1-model_v4_TED01:1.20.120.20:180:359
P06730,AF-P06730-F1-model_v4_TED01:3.30.760.10:36:215
P06732,AF-P06732-F1-model_v4_TED01:1.10.135.10:3:96;AF-P06732-F1-model_v4_TED02:3.30.590.10:111:368
P06737,AF-P06737-F1-model_v4_TED01:-:19:125;AF-P06737-F1-model_v4_TED02:3.40.50.2000:79:481;AF-P06737-F1-model_v4_TED03:3.40.50.2000:497:810
P06744,AF-P06744-F1-model_v4_TED01:3.40.50.10490:9:512;AF-P06744-F1-model_v4_TED02:3.40.50.10490:101:294;AF-P06744-F1-model_v4_TED03:1.10.1390.10:517:554
P06753,
P06850,
P06881,
P07093,AF-P07093-F1-model_v4_TED01:3.30.497.10:51:345;AF-P07093-F1-model_v4_TED02:2.30.39.10:198:384
P07205,AF-P07205-F1-model_v4_TED01:3.40.50.1260:8:185;AF-P07205-F1-model_v4_TED02:3.40.50.1260:199:392
P07311,AF-P07311-F1-model_v4_TED01:3.30.70.100:2:96
P07355,AF-P07355-F1-model_v4_TED01:1.10.220.10:105:175;AF-P07355-F1-model_v4_TED02:1.10.220.10:187:249;AF-P07355-F1-model_v4_TED03:1.10.220.10:265:323
P07438,AF-P07438-F1-model_v4_TED01:-:2:31;AF-P07438-F1-model_v4_TED02:-:34:61
P07476,AF-P07476-F1-model_v4_TED01:1.20.5:81:150
P07492,AF-P07492-F1-model_v4_TED01:1.20.5:64:97
P07498,
P07737,AF-P07737-F1-model_v4_TED01:3.30.450.30:1:140
P07738,AF-P07738-F1-model_v4_TED01:3.40.50.1240:3:249
P07902,AF-P07902-F1-model_v4_TED01:3.30.428.10:69:377
P07919,AF-P07919-F1-model_v4_TED01:1.10.287.20:28:91
P07951,
P07992,AF-P07992-F1-model_v4_TED01:3.40.50.10130:100:220;AF-P07992-F1-model_v4_TED02:1.10.150.20:230:289
P07998,AF-P07998-F1-model_v4_TED01:3.10.130.10:31:150
P08118,AF-P08118-F1-model_v4_TED01:2.10.70.10:23:72;AF-P08118-F1-model_v4_TED02:2.20.25.590:76:114
P08133,AF-P08133-F1-model_v4_TED01:1.10.220.10:21:90;AF-P08133-F1-model_v4_TED02:1.10.220.10:252:347;AF-P08133-F1-model_v4_TED03:1.10.220.10:364:421;AF-P08133-F1-model_v4_TED04:1.10.220.10:435:505;AF-P08133-F1-model_v4_TED05:1.10.220.10:515:597;AF-P08133-F1-model_v4_TED06:1.10.220.10:599:668
P08185,AF-P08185-F1-model_v4_TED01:3.30.497.10:37:353;AF-P08185-F1-model_v4_TED02:2.30.39.10:213:402
P08237,AF-P08237-F1-model_v4_TED01:3.40.50.450:16:359;AF-P08237-F1-model_v4_TED02:3.40.50.460:178:300;AF-P08237-F1-model_v4_TED03:3.40.50.450:397:730;AF-P08237-F1-model_v4_TED04:3.40.50.460:542:663
P08397,AF-P08397-F1-model_v4_TED01:3.30.160.40:19:359;AF-P08397-F1-model_v4_TED02:3.40.190.10:120:204
P08571,AF-P08571-F1-model_v4_TED01:3.80.10.10:22:172
P08572,AF-P08572-F1-model_v4_TED01:2.170.240.10:1492:1711
P08574,AF-P08574-F1-model_v4_TED01:1.10.760.10:108:281
P08582,AF-P08582-F1-model_v4_TED01:3.40.190.10:21:354;AF-P08582-F1-model_v4_TED02:3.40.190.10:107:277;AF-P08582-F1-model_v4_TED03:3.40.190.10:366:692;AF-P08582-F1-model_v4_TED04:3.40.190.10:452:623
P08620,AF-P08620-F1-model_v4_TED01:2.80.10.50:81:204
P08684,AF-P08684-F1-model_v4_TED01:1.10.630.10:29:494
P08686,
P08697,AF-P08697-F1-model_v4_TED01:3.30.497.10:77:387;AF-P08697-F1-model_v4_TED02:2.30.39.10:242:445
P08700,AF-P08700-F1-model_v4_TED01:1.20.1250.10:30:147
P08708,AF-P08708-F1-model_v4_TED01:1.10.60.20:6:70;AF-P08708-F1-model_v4_TED02:-:93:122
P08754,AF-P08754-F1-model_v4_TED01:1.10.400.10:62:174;AF-P08754-F1-model_v4_TED02:3.40.50.300:215:340
P08758,AF-P08758-F1-model_v4_TED01:1.10.220.10:16:73;AF-P08758-F1-model_v4_TED02:1.10.220.10:87:157;AF-P08758-F1-model_v4_TED03:1.10.220.10:168:244;AF-P08758-F1-model_v4_TED04:1.10.220.10:247:315
P08865,AF-P08865-F1-model_v4_TED01:3.40.50.10490:8:209
P08949,
P08962,
P09001,AF-P09001-F1-model_v4_TED01:2.40.30.10:70:334
P09038,AF-P09038-F1-model_v4_TED01:2.80.10.50:173:286
P09105,AF-P09105-F1-model_v4_TED01:1.10.490.10:4:137
P09131,AF-P09131-F1-model_v4_TED01:2.60.40.60:67:172;AF-P09131-F1-model_v4_TED02:1.20.1530.20:192:474
P09132,AF-P09132-F1-model_v4_TED01:3.30.56.30:11:118
P09341,AF-P09341-F1-model_v4_TED01:2.40.50.40:53:104
P09417,AF-P09417-F1-model_v4_TED01:3.40.50.720:10:241
P09430,
P09467,AF-P09467-F1-model_v4_TED01:3.30.540.10:15:199;AF-P09467-F1-model_v4_TED02:3.40.190.80:210:338
P09471,AF-P09471-F1-model_v4_TED01:3.40.50.300:37:338;AF-P09471-F1-model_v4_TED02:1.10.400.10:62:169
P09493,
